Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
202,-100.01,-106.58216998833227,1,2.66,0,0.0,,0.0,0.0,,,0.0,,,
203,-100.01,-106.58216998833227,1,2.66,0,0.0,,0.0,0.0,,,0.0,,,
204,-99.91905603748356,-106.5812605487071,2,2.67,0,0.0,,0.0,0.0,,,0.0,,,
205,-113.71263955915408,-106.72033272355476,4,2.68,0,0.0,,0.0,0.0,,,0.0,,,
206,-100.01,-106.29178860579573,1,2.65,0,0.0,,0.0,0.0,,,0.0,,,
207,-99.92012682769632,-106.29088987407269,2,2.66,0,0.0,,0.0,0.0,,,0.0,,,
208,-100.01,-106.29178896249708,1,2.65,0,0.0,,0.0,0.0,,,0.0,,,
209,-99.66404025885761,-106.29036284386204,4,2.66,0,0.0,,0.0,0.0,,,0.0,,,
210,-113.7364276427186,-106.42920500518308,5,2.68,0,0.0,,0.0,0.0,,,0.0,,,
211,-143.20748543751137,-106.86462932023838,6,2.7,0,0.0,,0.0,0.0,,,0.0,,,
212,-114.74522324622544,-106.44534298744148,2,2.67,0,0.0,,0.0,0.0,,,0.0,,,
213,-99.91916713963347,-106.44649217024697,2,2.66,0,0.0,,0.0,0.0,,,0.0,,,
214,-99.80703752886787,-106.44446254553564,3,2.68,0,0.0,,0.0,0.0,,,0.0,,,
215,-99.80700780508863,-106.44243262358651,3,2.7,0,0.0,,0.0,0.0,,,0.0,,,
216,-100.01,-106.44243262358651,1,2.7,0,0.0,,0.0,0.0,,,0.0,,,
217,-100.01,-106.444483085416,1,2.68,0,0.0,,0.0,0.0,,,0.0,,,
218,-98.8051016564247,-106.43243410198023,3,2.7,0,0.0,,,,,,,,,
219,-99.74435225826342,-106.42977762456289,2,2.71,0,0.0,,-0.047654002697931394,4372.4580078125,,,1.037269843949212,,,
220,-99.8025736421988,-106.42770336098485,3,2.73,0,0.0,,0.0,0.0,,,0.0,,,
221,-100.01,-106.28150092703505,1,2.71,0,0.0,,0.0,0.0,,,0.0,,,
222,-99.91990598356638,-106.28264646241601,2,2.7,0,0.0,,0.0,0.0,,,0.0,,,
223,-100.01,-106.28264646241601,1,2.7,0,0.0,,0.0,0.0,,,0.0,,,
224,-99.91886937144861,-106.28173515613047,2,2.71,0,0.0,,0.0,0.0,,,0.0,,,
225,-128.91093614232008,-104.66782626888649,6,2.62,0,0.0,,0.0,0.0,,,0.0,,,
226,-100.01,-104.66782626888649,1,2.62,0,0.0,,0.0,0.0,,,0.0,,,
227,-100.01,-104.66874432453538,1,2.61,0,0.0,,0.0,0.0,,,0.0,,,
228,-114.66369556535756,-104.81528128018896,4,2.64,0,0.0,,0.0,0.0,,,0.0,,,
229,-99.80553607160151,-104.39266654874467,3,2.63,0,0.0,,0.0,0.0,,,0.0,,,
230,-99.74487245748686,-104.39001527331953,2,2.64,0,0.0,,0.0,0.0,,,0.0,,,
231,-100.01,-104.39001527331955,1,2.64,0,0.0,,0.0,0.0,,,0.0,,,
232,-99.92086811178521,-104.61683146609266,2,2.52,0,0.0,,0.0,0.0,,,0.0,,,
233,-100.01,-104.61683146609268,1,2.52,0,0.0,,0.0,0.0,,,0.0,,,
234,-100.01,-104.61884738515839,1,2.5,0,0.0,,0.0,0.0,,,0.0,,,
235,-99.9188131910954,-104.61882524741635,2,2.5,0,0.0,,0.0,0.0,,,0.0,,,
236,-100.01,-104.47179250897386,1,2.47,0,0.0,,0.0,0.0,,,0.0,,,
237,-100.01,-104.47179250897389,1,2.47,0,0.0,,0.0,0.0,,,0.0,,,
238,-99.91905603748356,-104.4759743803229,2,2.44,0,0.0,,0.0,0.0,,,0.0,,,
239,-100.01,-104.4780289466431,1,2.42,0,0.0,,0.0,0.0,,,0.0,,,
240,-99.80188432784612,-104.05735141352733,3,2.38,0,0.0,,0.0,0.0,,,0.0,,,
241,-155.48717258203197,-104.61212313934764,9,2.46,0,0.0,,0.0,0.0,,,0.0,,,
242,-99.92068402038421,-104.61324768500585,2,2.45,0,0.0,,0.0,0.0,,,0.0,,,
243,-99.80615845295846,-104.61120926953541,3,2.47,0,0.0,,0.0,0.0,,,0.0,,,
244,-100.01,-104.63271161890191,1,2.44,0,0.0,,0.0,0.0,,,0.0,,,
245,-99.91883152979294,-104.63179993419982,2,2.45,0,0.0,,0.0,0.0,,,0.0,,,
246,-100.01,-104.63269293137401,1,2.44,0,0.0,,0.0,0.0,,,0.0,,,
247,-100.01,-104.63269293137401,1,2.44,0,0.0,,0.0,0.0,,,0.0,,,
248,-99.9202824565877,-104.63269997751244,2,2.44,0,0.0,,0.0,0.0,,,0.0,,,
249,-100.01,-104.63764206436737,1,2.4,0,0.0,,,,,,,,,
250,-99.80731014613355,-104.63766094508483,3,2.4,0,0.0,,-0.01855949333144559,4830.274739583333,,,1.0371036529541016,,,
251,-99.66926206371195,-104.49724059701559,4,2.4,0,0.0,,0.0,0.0,,,0.0,,,
252,-99.96855430449689,-104.49682614006055,2,2.41,0,0.0,,0.0,0.0,,,0.0,,,
253,-99.80350259569688,-103.93517748576795,3,2.39,0,0.0,,0.0,0.0,,,0.0,,,
254,-100.01,-103.93517748576792,1,2.39,0,0.0,,0.0,0.0,,,0.0,,,
